学科门类,学科专业,A类总分,A类单科(100),A类单科(>100),B类总分,B类单科(100),B类单科(>100),少数民族骨干总分
哲学[01],各学科专业,321,39,59,311,36,54,257
经济学[02],各学科专业,323,40,60,313,37,56,259
法学[03],各学科专业,323,40,60,313,37,56,259
教育学[04],体育学[0403]、体育[0452],304,36,108,294,33,99,244
教育学[04],教育[0451]、国际中文教育[0453],341,45,68,331,42,63,273
教育学[04],其他学科专业,341,45,135,331,42,126,273
文学[05],各学科专业,351,47,71,341,44,66,281
历史学[06],各学科专业,336,43,129,326,40,120,269
理学[07],各学科专业,274,34,51,264,31,47,220
工学[08],工学照顾专业③,251,33,50,241,30,45,201
工学[08],其他学科专业,260,34,51,250,31,47,208
农学[09],各学科专业,245,33,50,235,30,45,196
医学[10]④,各学科专业,293,36,108,283,33,99,235
军事学[11],各学科专业,260,34,51,250,31,47,208
管理学[12],工商管理[1251]、旅游管理[1254],151,35,70,141,30,60,121
管理学[12],公共管理[1252],164,38,76,154,33,66,132
管理学[12],会计[1253]、审计[1257],194,48,96,184,43,86,156
管理学[12],图书情报[1255],191,48,96,181,43,86,153
管理学[12],工程管理[1256],162,38,76,152,33,66,130
管理学[12],其他学科专业,333,41,62,323,38,57,267
艺术学[13],各学科专业,351,37,56,341,34,51,281
交叉学科[14],各学科专业,266,34,51,256,31,47,213
